# Информация по метеостанции 259130 Магадан Географические координаты: 59.550,150.783 Первое наблюдение: 03.03.1946 Последнее наблюдение: 31.12.2021;;;;;;;
Дата; Максимальная температура; Минимальная температура;Средняя температура; Атмосферное давление; Скорость ветра; Осадки; Эффективная температура
01.01.1960; -10.0; -17.2; -13.1;9999;16;3; -26.4
02.01.1960; -16.1; -22.8; -20.0;9999;13;1; -31.8
03.01.1960; -20.0; -23.9; -22.0;9999;8;0; -30.7
04.01.1960; -21.1; -23.9; -22.3;9999;4;0; -28.4
05.01.1960; -17.8; -23.9; -18.9;9999;3;0; -24.2
06.01.1960; -12.8; -18.9; -15.0;9999;7;1; -22.6
07.01.1960; -11.1; -18.9; -17.2;9999;5;0; -23.7
08.01.1960; -17.8; -22.2; -20.4;9999;4;0; -26.4
09.01.1960; -16.1; -22.2; -18.0;9999;4;0; -23.9
10.01.1960; -16.1; -20.0; -18.4;9999;6;0; -25.6
11.01.1960; -17.8; -20.0; -19.2;9999;9;0; -28.4
12.01.1960; -17.8; -22.2; -20.7;9999;5;0; -27.3
13.01.1960; -10.0; -17.2; -13.9;9999;5;9999; -20.2
14.01.1960; -8.9; -16.1; -11.9;9999;10;1; -21.3
15.01.1960; -12.2; -18.9; -17.4;9999;7;0; -25.2
16.01.1960; -17.2; -21.1; -19.8;9999;6;0; -27.1
17.01.1960; -20.0; -23.9; -22.4;9999;7;0; -30.4
18.01.1960; -16.1; -23.9; -19.4;9999;13;0; -31.2
19.01.1960; -12.8; -22.2; -14.3;9999;18;0; -29.1
20.01.1960; -8.9; -13.9; -10.7;9999;15;0; -23.3
21.01.1960; -7.2; -12.2; -8.0;9999;17;0; -21.6
22.01.1960; -7.2; -17.8; -11.1;9999;10;0; -20.5
23.01.1960; -8.9; -20.0; -12.9;9999;5;0; -19.2
24.01.1960; -10.0; -17.8; -14.2;9999;8;0; -22.5
25.01.1960; -17.8; -20.0; -18.6;9999;6;0; -25.8
26.01.1960; -17.2; -21.1; -19.9;9999;5;0; -26.5
27.01.1960; -17.8; -22.2; -19.4;9999;3;0; -24.7
28.01.1960; -15.0; -21.1; -18.3;9999;3;0; -23.5
29.01.1960; -7.8; -21.1; -9.7;9999;6;9999; -16.3
30.01.1960; -7.2; -12.8; -10.5;9999;8;0; -18.6
31.01.1960; -7.8; -15.0; -11.3;9999;5;0; -17.5
01.02.1960; -10.0; -16.1; -14.2;9999;3;0; -19.2
02.02.1960; -15.0; -18.9; -17.1;9999;4;0; -22.9
03.02.1960; -17.2; -21.1; -18.8;9999;7;0; -26.6
04.02.1960; -17.8; -21.1; -19.6;9999;7;0; -27.5
05.02.1960; -16.1; -21.1; -17.6;9999;7;0; -25.4
06.02.1960; -16.1; -18.9; -18.1;9999;3;0; -23.3
07.02.1960; -15.0; -26.1; -18.4;9999;4;9999; -24.2
08.02.1960; -16.1; -22.2; -19.8;9999;9;0; -29.0
09.02.1960; -17.8; -22.8; -19.4;9999;8;0; -27.9
10.02.1960; -16.1; -21.1; -18.6;9999;8;0; -27.1
11.02.1960; -13.9; -20.0; -16.6;9999;5;0; -23.0
12.02.1960; -10.0; -17.8; -11.9;9999;11;3; -21.8
13.02.1960; -11.1; -12.8; -12.1;9999;6;1; -18.8
14.02.1960; -8.9; -12.8; -10.8;9999;8;0; -18.8
15.02.1960; -7.8; -13.9; -10.9;9999;5;0; -17.1
16.02.1960; -11.1; -18.9; -15.1;9999;5;0; -21.5
17.02.1960; -12.2; -20.0; -15.4;9999;4;0; -21.1
18.02.1960; -12.2; -20.0; -17.1;9999;3;0; -22.3
19.02.1960; -15.0; -22.2; -19.4;9999;3;0; -24.7
20.02.1960; -18.9; -26.1; -23.1;9999;4;0; -29.2
21.02.1960; -21.1; -26.1; -23.1;9999;4;0; -29.2
22.02.1960; -17.2; -25.0; -21.7;9999;2;0; -26.4
23.02.1960; -17.2; -23.9; -20.3;9999;2;0; -25.0
24.02.1960; -13.9; -22.2; -17.6;9999;4;0; -23.5
25.02.1960; -16.1; -21.1; -17.2;9999;9;0; -26.3
26.02.1960; -10.0; -17.8; -12.0;9999;14;1; -23.9
27.02.1960; -11.1; -17.8; -14.7;9999;7;1; -22.3
28.02.1960; -15.0; -21.1; -17.2;9999;6;0; -24.3
29.02.1960; -12.8; -18.9; -15.0;9999;6;0; -21.9
01.03.1960; -12.8; -17.2; -15.1;9999;3;0; -20.1
02.03.1960; -8.9; -17.2; -12.7;9999;6;0; -19.5
03.03.1960; -13.9; -17.2; -15.9;9999;8;9999; -24.2
04.03.1960; -11.1; -17.2; -13.1;9999;7;0; -20.6
05.03.1960; -1.1; -16.1; -5.9;9999;9;3; -14.0
06.03.1960; -11.1; -15.0; -13.1;9999;5;8; -19.2
07.03.1960; -11.1; -17.8; -15.0;9999;3;5; -20.0
08.03.1960; -12.8; -17.8; -15.3;9999;2;0; -19.7
09.03.1960; -2.2; -16.1; -4.1;9999;16;0; -16.7
10.03.1960; 1.1; -3.9; 0.0;9999;13;2; -10.2
11.03.1960; 0.0; -3.9; -2.5;9999;9;1; -10.4
12.03.1960; -1.1; -6.1; -3.8;9999;9;0; -11.8
13.03.1960; -2.2; -7.2; -4.7;9999;7;0; -11.6
14.03.1960; -1.1; -8.9; -5.8;9999;2;0; -9.4
15.03.1960; -2.8; -8.9; -6.4;9999;3;0; -10.8
16.03.1960; -2.8; -8.9; -6.3;9999;3;0; -10.6
17.03.1960; -6.1; -12.8; -9.0;9999;3;0; -13.4
18.03.1960; -8.9; -12.8; -10.0;9999;4;1; -15.3
19.03.1960; -6.1; -12.2; -9.4;9999;3;0; -14.0
20.03.1960; -8.9; -13.9; -11.9;9999;5;0; -18.0
21.03.1960; -11.1; -18.9; -14.4;9999;6;1; -21.3
22.03.1960; -12.8; -20.0; -16.3;9999;3;0; -21.4
23.03.1960; -12.8; -20.0; -17.1;9999;6;0; -24.2
24.03.1960; -13.9; -22.2; -18.8;9999;5;0; -25.4
25.03.1960; -12.8; -22.2; -17.4;9999;2;0; -21.9
26.03.1960; -12.8; -21.1; -16.1;9999;4;0; -21.8
27.03.1960; -10.0; -20.0; -13.1;9999;7;0; -20.6
28.03.1960; -3.9; -16.1; -4.7;9999;14;0; -16.1
29.03.1960; -1.1; -5.0; -2.3;9999;14;0; -13.5
30.03.1960; 0.0; -6.1; -3.3;9999;11;0; -12.7
31.03.1960; -1.1; -7.2; -4.5;9999;12;0; -14.6
01.04.1960; 0.0; -6.1; -3.4;9999;10;0; -12.0
02.04.1960; -2.8; -6.1; -4.4;9999;4;4; -9.1
03.04.1960; -2.2; -7.2; -5.1;9999;4;1; -10.0
04.04.1960; -1.1; -10.0; -6.1;9999;4;0; -11.1
05.04.1960; -3.9; -17.2; -7.0;9999;12;0; -17.4
06.04.1960; -3.9; -12.2; -8.2;9999;9;0; -16.7
07.04.1960; -2.8; -17.2; -5.7;9999;4;0; -10.6
08.04.1960; -2.8; -7.8; -4.7;9999;4;1; -9.6
09.04.1960; 0.0; -7.2; -3.3;9999;7;0; -10.0
10.04.1960; 1.1; -7.2; -1.5;9999;10;0; -10.0
11.04.1960; -1.1; -3.9; -2.5;9999;12;13; -12.1
12.04.1960; 0.0; -3.9; -1.6;9999;18;15; -15.2
13.04.1960; 2.2; -6.1; -2.0;9999;9;3; -9.9
14.04.1960; -2.2; -8.9; -5.6;9999;6;0; -11.9
15.04.1960; -2.8; -10.0; -6.4;9999;8;0; -14.1
16.04.1960; -2.2; -11.1; -6.1;9999;10;0; -15.2
17.04.1960; -1.1; -8.9; -2.5;9999;10;0; -11.1
18.04.1960; 0.0; -6.1; -3.3;9999;4;0; -8.0
19.04.1960; -2.2; -7.8; -5.2;9999;3;2; -9.4
20.04.1960; -1.1; -8.9; -4.3;9999;3;9999; -8.4
